Product ID,avg(Sales),avg(Profit)
FUR-ADV-10000002,53.040000915527344,20.1299991607666
FUR-ADV-10000108,116.68999608357747,1.1199999749660492
FUR-ADV-10000183,116.55600051879883,1.121999979019165
FUR-ADV-10000188,33.31999969482422,10.319999694824219
FUR-ADV-10000190,222.36000061035156,104.45999908447266
FUR-ADV-10000571,274.3499946594238,87.74999618530273
FUR-ADV-10000600,102.9000015258789,12.300000190734863
FUR-ADV-10000847,58.146000671386716,16.235999870300294
FUR-ADV-10001283,111.12000274658203,22.200000762939453
FUR-ADV-10001440,117.07799682617187,24.56999988555908
FUR-ADV-10001659,27.360000610351562,6.5279998779296875
FUR-ADV-10001855,26.3700008392334,7.110000133514404
FUR-ADV-10002601,116.10000038146973,55.6875
FUR-ADV-10002889,121.04999542236328,7.200000286102295
FUR-ADV-10003147,37.439999389648435,11.568000030517577
FUR-ADV-10003326,20.06999969482422,9.420000076293945
FUR-ADV-10004223,51.38999938964844,14.880000114440918
FUR-ADV-10004395,50.47200164794922,25.23600082397461
FUR-ADV-10004499,83.34999720255534,13.300000031789144
FUR-ADV-10004718,33.54999860127767,6.699999968210856
FUR-ADV-10004971,196.42500686645508,60.88499879837036
FUR-BAR-10000560,1003.02001953125,30.059999465942383
FUR-BAR-10000831,319.7699890136719,121.5
FUR-BAR-10000946,1680.104965209961,67.19999885559082
FUR-BAR-10002449,2457.0899251302085,786.140022277832
FUR-BAR-10003532,904.6500244140625,289.4700012207031
FUR-BAR-10003576,318.29998779296875,130.5
FUR-BAR-10004434,2058,946.6799926757812
FUR-BAR-10004553,315.8699951171875,28.40999984741211
FUR-BAR-10004561,518.4000244140625,67.37999725341797
FUR-BAR-10004682,2011.9200439453125,925.4400024414062
FUR-BEV-10000326,531.1799926757812,90.30000305175781
FUR-BEV-10000388,315.75,129.4499969482422
FUR-BEV-10001048,923.760009765625,249.38999938964844
FUR-BEV-10001853,984.1799926757812,344.4599914550781
FUR-BEV-10002369,336.45001220703125,43.709999084472656
FUR-BEV-10002803,925.22998046875,305.30999755859375
FUR-BEV-10003414,495.989990234375,238.0500030517578
FUR-BEV-10004805,1842.6600341796875,884.4600219726562
FUR-BEV-10004919,1334.0249633789062,426.82498931884766
FUR-BO-10000002,1660.7999877929688,83.04000091552734
